,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
217,600519.SH,20210707,2010.0,2028.88,1999.01,2004.0,2012.9,-8.9,-0.4421,28122.12,5658210.73
218,600519.SH,20210706,1995.0,2014.0,1960.01,2012.9,1994.0,18.9,0.9478,35282.51,7015883.091
219,600519.SH,20210705,2000.0,2019.88,1985.0,1994.0,2013.0,-19.0,-0.9439,34420.95,6872797.768
220,600519.SH,20210702,2075.0,2075.0,2011.5,2013.0,2105.0,-92.0,-4.3705,46275.31,9388640.194
221,600519.SH,20210701,2059.97,2110.0,2031.6,2105.0,2056.7,48.3,2.3484,33701.24,6970730.878
222,600519.SH,20210630,2065.0,2074.0,2046.3,2056.7,2062.0,-5.3,-0.257,21915.66,4511484.217
223,600519.SH,20210629,2108.0,2115.0,2051.0,2062.0,2103.01,-41.01,-1.9501,33030.63,6835635.172
224,600519.SH,20210628,2100.0,2118.0,2073.0,2103.01,2092.0,11.01,0.5263,27452.42,5750241.214
225,600519.SH,20210625,2049.96,2109.0,2042.6,2092.0,2048.76,43.24,2.1105,35875.43,7459680.452
226,600519.SH,20210624,2040.01,2080.0,2021.0,2068.05,2038.0,30.05,1.4745,31473.7,6452557.073
227,600519.SH,20210623,2080.0,2083.0,2034.15,2038.0,2074.97,-36.97,-1.7817,37079.01,7596735.684
228,600519.SH,20210622,2092.0,2098.0,2053.89,2074.97,2081.64,-6.67,-0.3204,33228.18,6900830.616
229,600519.SH,20210621,2085.0,2099.69,2050.0,2081.64,2090.94,-9.3,-0.4448,35488.26,7367986.471
230,600519.SH,20210618,2147.0,2156.5,2065.0,2090.94,2156.91,-65.97,-3.0585,54028.21,11329180.836
231,600519.SH,20210617,2155.65,2188.0,2144.36,2156.91,2158.0,-1.09,-0.0505,21067.53,4558702.643
232,600519.SH,20210616,2192.0,2195.0,2148.0,2158.0,2193.0,-35.0,-1.596,27593.15,5978924.528
233,600519.SH,20210615,2195.1,2208.88,2148.0,2193.0,2178.81,14.19,0.6513,29361.3,6412821.567
234,600519.SH,20210611,2239.0,2244.0,2178.81,2178.81,2238.48,-59.67,-2.6656,33970.66,7513797.036
235,600519.SH,20210610,2195.0,2251.37,2190.08,2238.48,2199.5,38.98,1.7722,25566.63,5707338.424
236,600519.SH,20210609,2192.0,2214.0,2160.11,2199.5,2191.0,8.5,0.388,25502.35,5591378.817
